,nexus7-2012-hmurakami
207290,918.0
207290,916.0
207442,920.0
207492,916.0
9366,912.0
9366,910.0
9466,906.0
9466,904.0
9568,912.0
9767,916.0
9767,914.0
9867,918.0
9967,914.0
9967,918.0
10068,920.0
10170,922.0
10268,920.0
10268,916.0
10370,918.0
10370,916.0
10472,922.0
10472,918.0
10671,916.0
10782,914.0
10872,912.0
10972,914.0
10972,916.0
11072,914.0
11072,908.0
11273,916.0
11573,918.0
11674,920.0
11674,918.0
11774,914.0
11774,912.0
11975,916.0
11975,918.0
12082,916.0
12082,918.0
12182,920.0
12303,914.0
12375,912.0
12476,910.0
12476,916.0
12576,920.0
12576,922.0
12676,914.0
12676,912.0
12776,908.0
12776,910.0
12876,916.0
12876,914.0
12977,918.0
12977,914.0
13077,920.0
13177,918.0
13278,914.0
13278,912.0
13385,914.0
13385,910.0
13486,908.0
13582,910.0
13582,918.0
13683,914.0
13683,916.0
13783,918.0
13879,914.0
13879,918.0
13979,916.0
14080,910.0
14180,906.0
14180,896.0
14280,892.0
14280,888.0
14380,880.0
14480,874.0
14480,834.0
14582,732.0
14582,590.0
14682,282.0
14682,202.0
14783,162.0
14882,264.0
14882,450.0
14982,640.0
14982,820.0
15083,904.0
15083,912.0
15199,914.0
15284,912.0
15383,910.0
15383,912.0
15484,914.0
15484,916.0
15584,914.0
15684,912.0
15684,914.0
15784,918.0
15884,920.0
15884,918.0
15985,920.0
15985,918.0
16085,916.0
16085,912.0
16186,910.0
16186,914.0
16287,912.0
16287,914.0
16387,918.0
16387,922.0
16588,920.0
16588,918.0
16701,916.0
16788,920.0
16888,922.0
16988,918.0
16988,916.0
17089,914.0
17189,912.0
17289,916.0
17389,912.0
17389,914.0
17490,918.0
17490,922.0
17590,920.0
17590,918.0
17691,916.0
17891,914.0
17991,916.0
17991,914.0
18099,918.0
18099,914.0
18199,916.0
18292,910.0
18292,912.0
18392,916.0
18392,914.0
18492,920.0
18693,916.0
18793,918.0
18994,920.0
18994,918.0
19094,916.0
19094,910.0
19194,912.0
19194,914.0
19302,918.0
19401,912.0
19501,902.0
19501,886.0
19599,882.0
19695,884.0
19695,880.0
19796,826.0
19796,706.0
19896,542.0
19896,366.0
19996,258.0
19996,254.0
20096,326.0
20096,432.0
20196,548.0
20196,722.0
20297,786.0
20297,844.0
20397,884.0
20397,902.0
20497,912.0
20497,908.0
20597,912.0
20597,914.0
20700,916.0
20700,918.0
20802,914.0
20898,916.0
20898,922.0
21002,918.0
21098,916.0
21098,914.0
21299,918.0
21499,916.0
21499,918.0
21600,916.0
21600,918.0
21801,916.0
21801,914.0
21901,916.0
21901,914.0
22002,918.0
22002,916.0
22102,912.0
22102,918.0
22202,916.0
22202,922.0
22302,920.0
22402,918.0
22402,920.0
22603,916.0
22703,918.0
22703,920.0
22803,924.0
22903,922.0
22903,918.0
23104,924.0
23104,922.0
23204,920.0
23204,918.0
23304,914.0
23304,916.0
23405,918.0
23405,914.0
23505,912.0
23605,906.0
23605,912.0
23705,910.0
23806,908.0
23806,906.0
23925,902.0
23925,894.0
24017,890.0
24107,888.0
24107,884.0
24207,886.0
24207,888.0
24408,890.0
24408,888.0
24508,894.0
24608,902.0
24608,908.0
24708,916.0
24708,918.0
24809,914.0
24809,912.0
24913,910.0
24913,904.0
25013,906.0
25113,888.0
25113,848.0
25217,726.0
25217,648.0
25317,572.0
25317,482.0
25417,384.0
25417,306.0
25517,232.0
25614,196.0
25614,190.0
25714,194.0
25714,222.0
25814,280.0
25814,374.0
25914,528.0
25914,808.0
26015,892.0
26015,914.0
26120,916.0
26120,914.0
26216,916.0
26216,920.0
26416,922.0
26416,918.0
26516,916.0
26516,920.0
26617,918.0
26617,916.0
26719,914.0
26817,912.0
26920,918.0
27018,914.0
27118,910.0
27118,908.0
27219,906.0
27219,912.0
27319,916.0
27319,920.0
27419,924.0
27519,918.0
27619,914.0
27619,910.0
27719,916.0
27820,918.0
27820,920.0
27920,918.0
28020,914.0
28120,918.0
28221,920.0
28221,918.0
28321,920.0
28443,922.0
28536,918.0
28621,912.0
28721,916.0
29023,914.0
29223,918.0
29324,922.0
29425,918.0
29425,916.0
29524,914.0
29524,912.0
29624,916.0
29624,918.0
29724,916.0
29724,914.0
29925,912.0
29925,914.0
30027,918.0
30126,916.0
30226,918.0
30326,920.0
30326,924.0
30532,922.0
30532,920.0
30633,914.0
30633,916.0
30733,912.0
30733,910.0
30833,916.0
30933,918.0
30933,916.0
31035,918.0
31035,916.0
31135,912.0
31135,916.0
31236,914.0
31343,922.0
31435,920.0
31535,916.0
31635,922.0
31635,920.0
31736,914.0
31836,912.0
31936,918.0
31936,916.0
32136,920.0
32237,924.0
32237,922.0
32337,916.0
32437,918.0
32537,916.0
32537,918.0
32638,916.0
32738,918.0
32738,916.0
32851,914.0
32851,918.0
33039,914.0
33039,918.0
33239,922.0
33239,920.0
33440,922.0
33540,920.0
33640,916.0
33640,918.0
33741,920.0
33841,918.0
33941,920.0
34142,916.0
34253,918.0
34253,922.0
34353,920.0
34443,922.0
34443,924.0
34543,918.0
34643,920.0
34643,918.0
34743,924.0
34743,920.0
34843,916.0
34944,912.0
34944,918.0
35044,922.0
35044,926.0
35144,922.0
35144,920.0
35245,918.0
35245,916.0
35646,922.0
35747,920.0
35853,922.0
35948,916.0
36048,912.0
36048,910.0
36148,914.0
36148,916.0
36248,914.0
36349,912.0
36349,914.0
36449,916.0
36550,922.0
36550,918.0
36650,916.0
36650,914.0
36754,916.0
36854,920.0
36951,918.0
36951,920.0
37251,918.0
37352,922.0
37352,918.0
37452,922.0
37452,926.0
37552,922.0
37552,920.0
37652,914.0
37652,908.0
37754,918.0
37754,922.0
37953,920.0
37953,916.0
38054,918.0
38054,916.0
38154,914.0
38154,916.0
38267,918.0
38354,916.0
38456,912.0
38568,910.0
38568,914.0
38670,912.0
38670,914.0
38776,916.0
38857,912.0
38857,916.0
38957,914.0
38957,912.0
39057,916.0
39267,918.0
39358,916.0
39458,914.0
39458,916.0
39558,920.0
39659,922.0
39659,920.0
39767,918.0
39859,914.0
39859,916.0
39968,918.0
39968,916.0
40073,918.0
40160,916.0
40160,918.0
40272,912.0
40360,910.0
40461,914.0
40461,920.0
40561,926.0
40561,922.0
40767,918.0
40767,912.0
40861,910.0
40962,912.0
41062,914.0
41162,916.0
41268,920.0

